"plantID","accession","treatment","experiment","meta.experiment","facility","variable","value","Gene_idGene","direction"
2781,"SALK_063722C","control","cofc-second","second","COFC-OGH","aborted.fruits",161,"AT1G64390","high"
2973,"ECOTYPE-1554","osmocote","cofc-second","second","COFC-OGH","aborted.fruits",141,"","high"
2979,"ECOTYPE-22635","osmocote","cofc-second","second","COFC-OGH","aborted.fruits",161,"","high"
2987,"SALK_017933C","osmocote","cofc-second","second","COFC-OGH","aborted.fruits",161,"AT3G62710","high"
3041,"SALK_054680C","osmocote","cofc-second","second","COFC-OGH","aborted.fruits",140,"AT3G07120","high"
3080,"SALK_126600C","osmocote","cofc-second","second","COFC-OGH","aborted.fruits",172,"AT3G15850","high"
3090,"SALK_134535C","osmocote","cofc-second","second","COFC-OGH","aborted.fruits",219,"AT2G01430","high"
10226,"SALK_140231C","control","1a1","1","BC-GC1","aborted.fruits",156,"AT5G22010","high"
12362,"SALK_092897C","control","1a2","1","BC-GC6","aborted.fruits",247,"AT5G42780","high"
12812,"SALK_140231C","control","1a2","1","BC-GC6","aborted.fruits",384,"AT5G22010","high"
14176,"SALK_022902C","control","3pt1","3","COFC-GC4","aborted.fruits",127,"AT5G17180","high"
14895,"CS22597","control","Phyt2A","phyt","BC-GC1","aborted.fruits",123,NA,"high"
14908,"SALK_047755C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",307,"AT1G61170","high"
14933,"SALK_047428C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",130,"AT4G19670","high"
15019,"CS22597","control","Phyt2A","phyt","BC-GC1","aborted.fruits",148,NA,"high"
15022,"SALK_050266C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",142,"AT2G23600","high"
15023,"CS22631","control","Phyt2A","phyt","BC-GC1","aborted.fruits",189,"","high"
15029,"SALK_074221C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",187,"AT4G16935","high"
15035,"CS70000","control","Phyt2A","phyt","BC-GC1","aborted.fruits",340,"","high"
15044,"SALK_050756C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",187,"AT1G26830","high"
15045,"CS22627","control","Phyt2A","phyt","BC-GC1","aborted.fruits",266,"","high"
15046,"SALK_109844C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",132,"AT1G13070","high"
15052,"SALK_050938C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",275,"AT5G56970","high"
15059,"CS22659","control","Phyt2A","phyt","BC-GC1","aborted.fruits",190,"","high"
15060,"CS22627","control","Phyt2A","phyt","BC-GC1","aborted.fruits",280,"","high"
15064,"CS22635","control","Phyt2A","phyt","BC-GC1","aborted.fruits",125,"","high"
15065,"SALK_050756C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",204,"AT1G26830","high"
15069,"SALK_074725C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",124,"AT1G06510","high"
15070,"CS22601","control","Phyt2A","phyt","BC-GC1","aborted.fruits",133,"","high"
15071,"SALK_074221C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",168,"AT4G16935","high"
15076,"SALK_074302C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",182,"AT5G04090","high"
15082,"SALK_051012C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",124,"AT5G13770","high"
15085,"SALK_051012C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",125,"AT5G13770","high"
15086,"SALK_074344C","control","Phyt2A","phyt","BC-GC1","aborted.fruits",196,"AT1G08590","high"
15180,"SALK_110002C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",171,"AT2G15820","high"
15183,"CS22600","control","Phyt2A","phyt","BC-GH1","aborted.fruits",134,"","high"
15189,"SALK_050926C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",160,"AT2G26840","high"
15191,"SALK_073717C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",153,"AT4G10600","high"
15195,"SALK_050938C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",278,"AT5G56970","high"
15197,"CS22617","control","Phyt2A","phyt","BC-GH1","aborted.fruits",236,"","high"
15199,"CS22601","control","Phyt2A","phyt","BC-GH1","aborted.fruits",263,"","high"
15200,"CS22611","control","Phyt2A","phyt","BC-GH1","aborted.fruits",131,NA,"high"
15202,"SALK_050756C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",205,"AT1G26830","high"
15204,"SALK_074288C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",211,"AT2G01090","high"
15208,"SALK_047755C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",124,"AT1G61170","high"
15215,"CS22619","control","Phyt2A","phyt","BC-GH1","aborted.fruits",210,"","high"
15226,"CS22627","control","Phyt2A","phyt","BC-GH1","aborted.fruits",189,"","high"
15227,"CS22615","control","Phyt2A","phyt","BC-GH1","aborted.fruits",181,"","high"
15231,"SALK_074288C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",124,"AT2G01090","high"
15283,"SALK_051012C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",158,"AT5G13770","high"
15286,"CS22611","control","Phyt2A","phyt","BC-GH1","aborted.fruits",595,NA,"high"
15290,"SALK_051074C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",124,"AT4G38480","high"
15300,"CS22617","control","Phyt2A","phyt","BC-GH1","aborted.fruits",657,"","high"
15301,"SALK_047702C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",143,"AT4G39753","high"
15360,"SALK_051012C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",163,"AT5G13770","high"
15393,"SALK_109408C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",123,"AT5G04680","high"
15395,"SALK_074344C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",164,"AT1G08590","high"
15397,"SALK_074221C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",172,"AT4G16935","high"
15408,"SALK_050926C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",164,"AT2G26840","high"
15410,"SALK_075753C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",170,"AT2G02170","high"
15411,"SALK_074288C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",264,"AT2G01090","high"
15415,"SALK_047702C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",228,"AT4G39753","high"
15423,"SALK_050926C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",131,"AT2G26840","high"
15428,"SALK_074221C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",124,"AT4G16935","high"
15435,"SALK_050756C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",124,"AT1G26830","high"
15456,"SALK_047702C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",130,"AT4G39753","high"
15485,"CS22611","control","Phyt2A","phyt","BC-GH1","aborted.fruits",225,NA,"high"
15486,"SALK_074221C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",156,"AT4G16935","high"
15488,"SALK_110551C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",139,"AT5G04940","high"
15491,"SALK_049331C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",221,"AT5G36737","high"
15492,"SALK_074725C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",126,"AT1G06510","high"
15500,"SALK_050266C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",148,"AT2G23600","high"
15501,"SALK_047702C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",154,"AT4G39753","high"
15503,"SALK_050728C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",275,"AT5G14370","high"
15505,"CS22636","control","Phyt2A","phyt","BC-GH1","aborted.fruits",301,"","high"
15506,"CS22617","control","Phyt2A","phyt","BC-GH1","aborted.fruits",225,"","high"
15567,"CS22633","control","Phyt2A","phyt","BC-GH1","aborted.fruits",148,"","high"
15577,"SALK_109408C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",172,"AT5G04680","high"
15579,"SALK_050728C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",149,"AT5G14370","high"
15585,"SALK_050915C","control","Phyt2A","phyt","BC-GH1","aborted.fruits",155,"AT4G18510","high"
15589,"CS22659","control","Phyt2A","phyt","BC-GH1","aborted.fruits",207,"","high"
17120,"SALK_051012C","control","Phyt2B","phyt","BC-GC1","aborted.fruits",219,"AT5G13770","high"
17163,"CS22619","control","Phyt2B","phyt","BC-GC1","aborted.fruits",223,"","high"
17219,"SALK_051074C","control","Phyt2B","phyt","BC-GC1","aborted.fruits",153,"AT4G38480","high"
17241,"SALK_073717C","control","Phyt2B","phyt","BC-GC1","aborted.fruits",122,"AT4G10600","high"
17312,"SALK_050938C","control","Phyt2B","phyt","BC-GC1","aborted.fruits",181,"AT5G56970","high"
17492,"CS70000","control","Phyt2B","phyt","BC-GH1","aborted.fruits",142,"","high"
17515,"CS22653","control","Phyt2B","phyt","BC-GH1","aborted.fruits",203,"","high"
19715,"SALK_060259C","control","3pt2","3","COFC-GC2","aborted.fruits",147,"AT5G21070","high"
19744,"SALK_006235C","control","3pt2","3","COFC-GC2","aborted.fruits",136,"AT5G24920","high"
19805,"SALK_078782C","control","3pt2","3","COFC-GC2","aborted.fruits",141,"AT2G44110","high"
19811,"SALK_082840C","control","3pt2","3","COFC-GC2","aborted.fruits",227,"AT2G46270","high"
19835,"SALK_009751C","control","3pt2","3","COFC-GC2","aborted.fruits",193,"AT5G04830","high"
19858,"SALK_021521C","control","3pt2","3","COFC-GC2","aborted.fruits",123,"AT5G56367","high"
19871,"SALK_007305C","control","3pt2","3","COFC-GC2","aborted.fruits",146,"AT5G09960","high"
19883,"SALK_013113C","control","3pt2","3","COFC-GC2","aborted.fruits",170,"AT4G21550","high"
19889,"SALK_003210C","control","3pt2","3","COFC-GC2","aborted.fruits",137,"AT1G42430","high"
19895,"SALK_000281C","control","3pt2","3","COFC-GC2","aborted.fruits",121,"AT5G35450","high"
19910,"SALK_006515C","control","3pt2","3","COFC-GC2","aborted.fruits",163,"AT5G04270","high"
19925,"SALK_008526C","control","3pt2","3","COFC-GC2","aborted.fruits",172,"AT5G11520","high"
19972,"SALK_023858C","control","3pt2","3","COFC-GC2","aborted.fruits",128,"AT1G15660","high"
19976,"SALK_023858C","control","3pt2","3","COFC-GC1","aborted.fruits",126,"AT1G15660","high"
19977,"SALK_025050C","control","3pt2","3","COFC-GC2","aborted.fruits",159,"AT1G55770","high"
19990,"SALK_026026C","control","3pt2","3","COFC-GC2","aborted.fruits",121,"AT1G11360","high"
19997,"SALK_026462C","control","3pt2","3","COFC-GC2","aborted.fruits",153,"AT3G10845","high"
20032,"SALK_010499C","control","3pt2","3","COFC-GC2","aborted.fruits",128,"AT2G01400","high"
20089,"CS22636","control","3pt2","3","COFC-GC2","aborted.fruits",128,"","high"
20098,"CS22596","control","3pt2","3","COFC-GC2","aborted.fruits",161,"","high"
20110,"SALK_137763C","control","3pt2","3","COFC-GC2","aborted.fruits",123,"AT1G58060","high"
20117,"CS22633","control","3pt2","3","COFC-GC2","aborted.fruits",150,"","high"
20118,"CS22633","control","3pt2","3","COFC-GC2","aborted.fruits",251,"","high"
20120,"CS22633","control","3pt2","3","COFC-GC2","aborted.fruits",124,"","high"
20126,"CS22633","control","3pt2","3","COFC-GC1","aborted.fruits",143,"","high"
20141,"SALK_006594C","control","3pt2","3","COFC-GC2","aborted.fruits",121,"AT3G20110","high"
20152,"CS22659","control","3pt2","3","COFC-GC2","aborted.fruits",121,"","high"
20154,"CS22659","control","3pt2","3","COFC-GC2","aborted.fruits",220,"","high"
20156,"CS22659","control","3pt2","3","COFC-GC2","aborted.fruits",170,"","high"
20157,"CS22659","control","3pt2","3","COFC-GC1","aborted.fruits",132,"","high"
20158,"CS22659","control","3pt2","3","COFC-GC1","aborted.fruits",140,"","high"
20172,"CS22635","control","3pt2","3","COFC-GC2","aborted.fruits",135,"","high"
20173,"CS22635","control","3pt2","3","COFC-GC2","aborted.fruits",163,"","high"
20189,"SALK_130522C","control","3pt2","3","COFC-GC2","aborted.fruits",124,"AT1G05120","high"
20267,"SALK_063585C","control","3pt2","3","COFC-GC2","aborted.fruits",208,"AT5G04500","high"
20291,"SALK_038262C","control","3pt2","3","COFC-GC2","aborted.fruits",162,"AT3G11260","high"
20303,"SALK_022160C","control","3pt2","3","COFC-GC2","aborted.fruits",128,"AT1G49760","high"
20321,"SALK_007810C","control","3pt2","3","COFC-GC2","aborted.fruits",230,"AT2G28640","high"
20327,"SALK_021042C","control","3pt2","3","COFC-GC2","aborted.fruits",158,"AT4G09750","high"
20333,"SALK_018897C","control","3pt2","3","COFC-GC2","aborted.fruits",163,"AT1G26330","high"
20345,"SALK_018313C","control","3pt2","3","COFC-GC2","aborted.fruits",126,"AT5G44690","high"
20399,"SALK_119176C","control","3pt2","3","COFC-GC2","aborted.fruits",130,"AT3G07730","high"
20405,"SALK_116524C","control","3pt2","3","COFC-GC2","aborted.fruits",121,"AT4G32290","high"
20441,"SALK_084760C","control","3pt2","3","COFC-GC2","aborted.fruits",177,"AT3G09915","high"
20453,"SALK_066538C","control","3pt2","3","COFC-GC2","aborted.fruits",165,"AT1G76650","high"
20470,"SALK_060321C","control","3pt2","3","COFC-GC2","aborted.fruits",136,"AT5G04130","high"
20477,"SALK_058277C","control","3pt2","3","COFC-GC2","aborted.fruits",143,"AT3G55520","high"
20483,"SALK_058270C","control","3pt2","3","COFC-GC2","aborted.fruits",215,"AT2G41480","high"
20489,"SALK_056166C","control","3pt2","3","COFC-GC2","aborted.fruits",136,"AT2G18196","high"
20490,"SALK_056166C","control","3pt2","3","COFC-GC1","aborted.fruits",151,"AT2G18196","high"
20492,"SALK_056166C","control","3pt2","3","COFC-GC1","aborted.fruits",123,"AT2G18196","high"
20517,"SALK_110830C","control","3pt2","3","COFC-GC2","aborted.fruits",127,"AT1G14685","high"
20518,"SALK_110830C","control","3pt2","3","COFC-GC2","aborted.fruits",152,"AT1G14685","high"
20525,"SALK_110714C","control","3pt2","3","COFC-GC2","aborted.fruits",232,"AT1G07240","high"
20705,"SALK_073770C","control","1a3","1","COFC-GC2","aborted.fruits",127,"AT3G10820","high"
20710,"CS22617","control","1a3","1","COFC-GC2","aborted.fruits",137,"","high"
20720,"SALK_110440C","control","1a3","1","COFC-GC2","aborted.fruits",150,"AT1G27190","high"
20724,"SALK_075516C","control","1a3","1","COFC-GC2","aborted.fruits",150,"AT1G37140","high"
20740,"SALK_023159C","control","1a3","1","COFC-GC2","aborted.fruits",214,"AT1G80300","high"
20750,"SALK_049637C","control","1a3","1","COFC-GC2","aborted.fruits",147,"AT3G14990","high"
20826,"CS22618","control","1a3","1","COFC-GC3","aborted.fruits",132,"","high"
20960,"SALK_007896C","control","1a3","1","COFC-GC3","aborted.fruits",136,"AT4G30340","high"
21078,"CS22633","control","1a3","1","COFC-GC3","aborted.fruits",125,"","high"
21098,"SALK_039302C","control","1a3","1","COFC-GC3","aborted.fruits",132,"AT3G01460","high"
21264,"SALK_118842C","control","1a3","1","COFC-GC1","aborted.fruits",123,"AT5G23090","high"
21271,"SALK_037642C","control","1a3","1","COFC-GC1","aborted.fruits",124,"AT3G52910","high"
21272,"SALK_048845C","control","1a3","1","COFC-GC1","aborted.fruits",153,"AT3G14750","high"
21289,"SALK_049590C","control","1a3","1","COFC-GC1","aborted.fruits",128,"AT5G22400","high"
21294,"SALK_050561C","control","1a3","1","COFC-GC1","aborted.fruits",136,"AT1G19300","high"
21301,"SALK_049449C","control","1a3","1","COFC-GC1","aborted.fruits",143,"AT2G22490","high"
21302,"SALK_075970C","control","1a3","1","COFC-GC1","aborted.fruits",193,"AT3G16650","high"
21306,"SALK_049785C","control","1a3","1","COFC-GC1","aborted.fruits",177,"AT2G36420","high"
21309,"SALK_110348C","control","1a3","1","COFC-GC1","aborted.fruits",150,"AT4G05526","high"
21360,"CS22596","control","1a3","1","COFC-GC4","aborted.fruits",157,"","high"
21393,"SALK_066578C","control","1a3","1","COFC-GC4","aborted.fruits",122,"AT3G05155","high"
21395,"SALK_076366C","control","1a3","1","COFC-GC4","aborted.fruits",128,"AT5G50350","high"
21396,"SALK_049990C","control","1a3","1","COFC-GC4","aborted.fruits",123,"AT3G23960","high"
21426,"SALK_023661C","control","1a3","1","COFC-GC4","aborted.fruits",195,"AT1G04670","high"
21434,"SALK_049770C","control","1a3","1","COFC-GC4","aborted.fruits",126,"AT1G50970","high"
21440,"SALK_074821C","control","1a3","1","COFC-GC4","aborted.fruits",155,"AT5G18380","high"
21443,"SALK_079430C","control","1a3","1","COFC-GC4","aborted.fruits",124,"AT4G36780","high"
21444,"SALK_047327C","control","1a3","1","COFC-GC4","aborted.fruits",122,"AT5G61280","high"
21447,"SALK_111675C","control","1a3","1","COFC-GC4","aborted.fruits",123,"AT3G03200","high"
21448,"SALK_047708C","control","1a3","1","COFC-GC4","aborted.fruits",207,"AT1G79490","high"
21454,"SALK_023943C","control","1a3","1","COFC-GC4","aborted.fruits",122,"AT4G03040","high"
21456,"SALK_115765C","control","1a3","1","COFC-GC4","aborted.fruits",129,"","high"
21719,"SALK_082546C","control","1a3","1","COFC-GC1","aborted.fruits",130,"AT5G17490","high"
