"plantID","accession","treatment","experiment","meta.experiment","facility","variable","value","Gene_idGene","direction"
16,"SALK_108266C","control","cofc-first","first","COFC-OGH","fruitnum",243,"AT1G23380","high"
28,"SALK_109171C","control","cofc-first","first","COFC-OGH","fruitnum",148,"AT2G39100","high"
29,"SALK_109171C","control","cofc-first","first","COFC-OGH","fruitnum",132,"AT2G39100","high"
32,"SALK_109171C","control","cofc-first","first","COFC-OGH","fruitnum",142,"AT2G39100","high"
152,"SALK_054680C","control","cofc-first","first","COFC-OGH","fruitnum",184,"AT3G07120","high"
155,"SALK_054680C","control","cofc-first","first","COFC-OGH","fruitnum",137,"AT3G07120","high"
158,"SALK_054680C","control","cofc-first","first","COFC-OGH","fruitnum",129,"AT3G07120","high"
164,"SALK_094332C","control","cofc-first","first","COFC-OGH","fruitnum",126,"AT3G18930","high"
168,"SALK_094332C","control","cofc-first","first","COFC-OGH","fruitnum",154,"AT3G18930","high"
169,"SALK_094332C","control","cofc-first","first","COFC-OGH","fruitnum",162,"AT3G18930","high"
187,"SALK_063976C","control","cofc-first","first","COFC-OGH","fruitnum",141,"AT2G02770","high"
191,"SALK_063976C","control","cofc-first","first","COFC-OGH","fruitnum",127,"AT2G02770","high"
198,"SALK_148182C","control","cofc-first","first","COFC-OGH","fruitnum",140,"AT5G66070","high"
272,"SALK_004048C","control","cofc-first","first","COFC-OGH","fruitnum",183,"AT2G40950","high"
278,"SALK_115125C","control","cofc-first","first","COFC-OGH","fruitnum",134,"AT4G36740","high"
281,"SALK_115125C","control","cofc-first","first","COFC-OGH","fruitnum",135,"AT4G36740","high"
286,"SALK_115125C","control","cofc-first","first","COFC-OGH","fruitnum",136,"AT4G36740","high"
317,"SALK_008924C","control","cofc-first","first","COFC-OGH","fruitnum",139,"AT2G34710","high"
318,"SALK_008924C","control","cofc-first","first","COFC-OGH","fruitnum",128,"AT2G34710","high"
321,"SALK_008924C","control","cofc-first","first","COFC-OGH","fruitnum",132,"AT2G34710","high"
326,"SALK_008924C","control","cofc-first","first","COFC-OGH","fruitnum",132,"AT2G34710","high"
327,"SALK_008924C","control","cofc-first","first","COFC-OGH","fruitnum",128,"AT2G34710","high"
330,"SALK_015609C","control","cofc-first","first","COFC-OGH","fruitnum",152,"AT4G26580","high"
481,"SALK_CS60000","control","cofc-first","first","COFC-OGH","fruitnum",136,"","high"
482,"SALK_CS60000","control","cofc-first","first","COFC-OGH","fruitnum",162,"","high"
486,"SALK_CS60000","control","cofc-first","first","COFC-OGH","fruitnum",131,"","high"
487,"SALK_CS60000","control","cofc-first","first","COFC-OGH","fruitnum",141,"","high"
492,"SALK_CS60000","control","cofc-first","first","COFC-OGH","fruitnum",129,"","high"
634,"SALK_067236","control","cofc-first","first","COFC-OGH","fruitnum",127,"","high"
638,"SALK_067236","control","cofc-first","first","COFC-OGH","fruitnum",139,"","high"
641,"SALK_067236","control","cofc-first","first","COFC-OGH","fruitnum",132,"","high"
644,"SALK_067236","control","cofc-first","first","COFC-OGH","fruitnum",186,"","high"
651,"SALK_067236","control","cofc-first","first","COFC-OGH","fruitnum",151,"","high"
654,"SALK_067236","control","cofc-first","first","COFC-OGH","fruitnum",169,"","high"
669,"SALK_CS60000","control","cofc-first","first","COFC-OGH","fruitnum",128,"","high"
766,"SALK_CS60000","control","cofc-first","first","COFC-OGH","fruitnum",129,"","high"
780,"SALK_113353C","control","cofc-first","first","COFC-OGH","fruitnum",127,"AT4G32980","high"
785,"SALK_113353C","control","cofc-first","first","COFC-OGH","fruitnum",147,"AT4G32980","high"
793,"SALK_113353C","control","cofc-first","first","COFC-OGH","fruitnum",143,"AT4G32980","high"
1339,"SALK_118043C","control","cofc-first","first","COFC-OGH","fruitnum",127,"AT5G64440","high"
1342,"SALK_063722C","control","cofc-first","first","COFC-OGH","fruitnum",203,"AT1G64390","high"
1352,"SALK_063722C","control","cofc-first","first","COFC-OGH","fruitnum",139,"AT1G64390","high"
1353,"SALK_063722C","control","cofc-first","first","COFC-OGH","fruitnum",126,"AT1G64390","high"
1354,"SALK_072465C","control","cofc-first","first","COFC-OGH","fruitnum",151,"AT1G76880","high"
1365,"SALK_027691C","control","cofc-first","first","COFC-OGH","fruitnum",136,"AT4G36730","high"
2687,"SALK_CS60000","control","cofc-second","second","COFC-OGH","fruitnum",130,"","high"
2688,"SALK_CS60000","control","cofc-second","second","COFC-OGH","fruitnum",135,"","high"
2689,"SALK_CS60000","control","cofc-second","second","COFC-OGH","fruitnum",156,"","high"
2690,"SALK_CS60000","control","cofc-second","second","COFC-OGH","fruitnum",177,"","high"
2691,"SALK_CS60000","control","cofc-second","second","COFC-OGH","fruitnum",192,"","high"
2693,"ECOTYPE-1376","control","cofc-second","second","COFC-OGH","fruitnum",132,"","high"
2697,"ECOTYPE-22594","control","cofc-second","second","COFC-OGH","fruitnum",192,"","high"
2699,"ECOTYPE-22631","control","cofc-second","second","COFC-OGH","fruitnum",148,"","high"
2701,"ECOTYPE-6885","control","cofc-second","second","COFC-OGH","fruitnum",155,"","high"
2711,"SALK_017933C","control","cofc-second","second","COFC-OGH","fruitnum",141,"AT3G62710","high"
2720,"SALK_033462C","control","cofc-second","second","COFC-OGH","fruitnum",136,"AT2G32370","high"
2721,"SALK_033462C","control","cofc-second","second","COFC-OGH","fruitnum",230,"AT2G32370","high"
2730,"SALK_038957C","control","cofc-second","second","COFC-OGH","fruitnum",131,"AT5G24540","high"
2731,"SALK_038957C","control","cofc-second","second","COFC-OGH","fruitnum",136,"AT5G24540","high"
2739,"SALK_042704C","control","cofc-second","second","COFC-OGH","fruitnum",152,"AT2G39930","high"
2740,"SALK_042704C","control","cofc-second","second","COFC-OGH","fruitnum",162,"AT2G39930","high"
2741,"SALK_042704C","control","cofc-second","second","COFC-OGH","fruitnum",250,"AT2G39930","high"
2749,"SALK_050488C","control","cofc-second","second","COFC-OGH","fruitnum",127,"AT5G59340","high"
2750,"SALK_050488C","control","cofc-second","second","COFC-OGH","fruitnum",137,"AT5G59340","high"
2751,"SALK_050488C","control","cofc-second","second","COFC-OGH","fruitnum",176,"AT5G59340","high"
2758,"SALK_054680C","control","cofc-second","second","COFC-OGH","fruitnum",146,"AT3G07120","high"
2759,"SALK_054680C","control","cofc-second","second","COFC-OGH","fruitnum",155,"AT3G07120","high"
2760,"SALK_054680C","control","cofc-second","second","COFC-OGH","fruitnum",170,"AT3G07120","high"
2761,"SALK_054680C","control","cofc-second","second","COFC-OGH","fruitnum",274,"AT3G07120","high"
2769,"SALK_059835C","control","cofc-second","second","COFC-OGH","fruitnum",133,"AT4G17460","high"
2770,"SALK_059835C","control","cofc-second","second","COFC-OGH","fruitnum",172,"AT4G17460","high"
2771,"SALK_059835C","control","cofc-second","second","COFC-OGH","fruitnum",216,"AT4G17460","high"
2777,"SALK_063722C","control","cofc-second","second","COFC-OGH","fruitnum",144,"AT1G64390","high"
2778,"SALK_063722C","control","cofc-second","second","COFC-OGH","fruitnum",155,"AT1G64390","high"
