"plantID","accession","treatment","experiment","meta.experiment","facility","variable","value","Gene_idGene","direction"
2684,"SALK_CS60000","control","cofc-second","second","COFC-OGH","inflorescence.height",268,"","high"
2685,"SALK_CS60000","control","cofc-second","second","COFC-OGH","inflorescence.height",234,"","high"
2686,"SALK_CS60000","control","cofc-second","second","COFC-OGH","inflorescence.height",348,"","high"
2687,"SALK_CS60000","control","cofc-second","second","COFC-OGH","inflorescence.height",336,"","high"
2688,"SALK_CS60000","control","cofc-second","second","COFC-OGH","inflorescence.height",322,"","high"
2689,"SALK_CS60000","control","cofc-second","second","COFC-OGH","inflorescence.height",334,"","high"
2690,"SALK_CS60000","control","cofc-second","second","COFC-OGH","inflorescence.height",459,"","high"
2691,"SALK_CS60000","control","cofc-second","second","COFC-OGH","inflorescence.height",302,"","high"
2693,"ECOTYPE-1376","control","cofc-second","second","COFC-OGH","inflorescence.height",286,"","high"
2697,"ECOTYPE-22594","control","cofc-second","second","COFC-OGH","inflorescence.height",572,"","high"
2699,"ECOTYPE-22631","control","cofc-second","second","COFC-OGH","inflorescence.height",348,"","high"
2701,"ECOTYPE-6885","control","cofc-second","second","COFC-OGH","inflorescence.height",398,"","high"
2707,"SALK_017933C","control","cofc-second","second","COFC-OGH","inflorescence.height",322,"AT3G62710","high"
2708,"SALK_017933C","control","cofc-second","second","COFC-OGH","inflorescence.height",311,"AT3G62710","high"
2709,"SALK_017933C","control","cofc-second","second","COFC-OGH","inflorescence.height",350,"AT3G62710","high"
2710,"SALK_017933C","control","cofc-second","second","COFC-OGH","inflorescence.height",355,"AT3G62710","high"
2711,"SALK_017933C","control","cofc-second","second","COFC-OGH","inflorescence.height",429,"AT3G62710","high"
2717,"SALK_033462C","control","cofc-second","second","COFC-OGH","inflorescence.height",254,"AT2G32370","high"
2718,"SALK_033462C","control","cofc-second","second","COFC-OGH","inflorescence.height",244,"AT2G32370","high"
2719,"SALK_033462C","control","cofc-second","second","COFC-OGH","inflorescence.height",317,"AT2G32370","high"
2720,"SALK_033462C","control","cofc-second","second","COFC-OGH","inflorescence.height",325,"AT2G32370","high"
2721,"SALK_033462C","control","cofc-second","second","COFC-OGH","inflorescence.height",445,"AT2G32370","high"
2729,"SALK_038957C","control","cofc-second","second","COFC-OGH","inflorescence.height",355,"AT5G24540","high"
2730,"SALK_038957C","control","cofc-second","second","COFC-OGH","inflorescence.height",306,"AT5G24540","high"
2731,"SALK_038957C","control","cofc-second","second","COFC-OGH","inflorescence.height",322,"AT5G24540","high"
2735,"SALK_042704C","control","cofc-second","second","COFC-OGH","inflorescence.height",154,"AT2G39930","high"
2736,"SALK_042704C","control","cofc-second","second","COFC-OGH","inflorescence.height",338,"AT2G39930","high"
2737,"SALK_042704C","control","cofc-second","second","COFC-OGH","inflorescence.height",340,"AT2G39930","high"
2738,"SALK_042704C","control","cofc-second","second","COFC-OGH","inflorescence.height",382,"AT2G39930","high"
2739,"SALK_042704C","control","cofc-second","second","COFC-OGH","inflorescence.height",338,"AT2G39930","high"
2740,"SALK_042704C","control","cofc-second","second","COFC-OGH","inflorescence.height",300,"AT2G39930","high"
2741,"SALK_042704C","control","cofc-second","second","COFC-OGH","inflorescence.height",417,"AT2G39930","high"
2748,"SALK_050488C","control","cofc-second","second","COFC-OGH","inflorescence.height",322,"AT5G59340","high"
2749,"SALK_050488C","control","cofc-second","second","COFC-OGH","inflorescence.height",338,"AT5G59340","high"
2750,"SALK_050488C","control","cofc-second","second","COFC-OGH","inflorescence.height",316,"AT5G59340","high"
2751,"SALK_050488C","control","cofc-second","second","COFC-OGH","inflorescence.height",438,"AT5G59340","high"
2755,"SALK_054680C","control","cofc-second","second","COFC-OGH","inflorescence.height",328,"AT3G07120","high"
2756,"SALK_054680C","control","cofc-second","second","COFC-OGH","inflorescence.height",396,"AT3G07120","high"
2757,"SALK_054680C","control","cofc-second","second","COFC-OGH","inflorescence.height",309,"AT3G07120","high"
2758,"SALK_054680C","control","cofc-second","second","COFC-OGH","inflorescence.height",399,"AT3G07120","high"
