"plantID","accession","treatment","experiment","meta.experiment","facility","variable","value","block","Gene_idGene","direction"
9004,"CS22618","control","1a1","1","COFC-GC2","germinants.14d",5,"1","","high"
9377,"SALK_036154C","control","1a1","1","BC-GC1","basal.branch",8,"1","AT1G30270","high"
9497,"SALK_047963C","control","1a1","1","BC-GC1","FruitLength2",2.29,"1","AT4G39260","low"
9518,"SALK_048145C","control","1a1","1","BC-GC1","basal.branch",7,"1","AT5G05230","high"
9590,"SALK_048898C","control","1a1","1","BC-GC1","basal.branch",55,"1","AT5G41040","high"
9611,"SALK_048987C","control","1a1","1","BC-GC1","FruitLength5",1.82,"1","AT3G18780","low"
9785,"SALK_070180C","control","1a1","1","BC-GC1","mainbranch",30,"1","AT3G56000","high"
9785,"SALK_070180C","control","1a1","1","BC-GC1","ttl.maininfl.branch",30,"1","AT3G56000","high"
9791,"SALK_073669C","control","1a1","1","BC-GC1","FruitLength6",85,"1","AT1G08960","high"
9995,"SALK_090508C","control","1a1","1","BC-GC1","FruitLength8",3.02,"1","AT2G40116","low"
10037,"SALK_107712C","control","1a1","1","BC-GC1","basal.branch",56,"1","AT4G30180","high"
10323,"CS22617","control","1a2","1","COFC-GC2","avg.fruit.length",44.3666666666667,"1","","high"
10323,"CS22617","control","1a2","1","COFC-GC2","midfruit.length",112.7,"1","","high"
11391,"SALK_048138C","control","1a2","1","BC-GC6","inflorescence.height",283,"1","AT4G39672","high"
11434,"SALK_048257C","control","1a2","1","COFC-GC1","upperfruit.length",0,"1","AT4G28300","low"
11743,"SALK_049803C","control","1a2","1","BC-GC5","inflorescence.height",61,"1","AT4G29960","high"
12153,"SALK_075669C","control","1a2","1","COFC-GC1","avg.fruit.length",3.8,"1","AT3G56790","low"
12362,"SALK_092897C","control","1a2","1","BC-GC6","aborted.fruits",247,"1","AT5G42780","high"
12639,"SALK_110355C","control","1a2","1","COFC-GC1","diameter.at.bolt",314.4,"1","AT1G62630","high"
12812,"SALK_140231C","control","1a2","1","BC-GC6","aborted.fruits",384,"1","AT5G22010","high"
