"idIndividualPlant","Facility_idFacility","Experiment_idExperiment","Accession_idAccession","Parent1","Parent2","plantnum_experiment","comment","parent_experiment"
0,6,11,"new_to_unpak",0,0,"new_seeds","new seeds brough into unpak system",NA
1,1,1,"SALK_066755C",0,0,NA,NA,NA
2,1,1,"SALK_066755C",0,0,NA,NA,NA
3,1,1,"SALK_066755C",0,0,NA,NA,NA
4,1,1,"SALK_066755C",0,0,NA,NA,NA
5,1,1,"SALK_066755C",0,0,NA,NA,NA
6,1,1,"SALK_066755C",0,0,NA,NA,NA
7,1,1,"SALK_066755C",0,0,NA,NA,NA
8,1,1,"SALK_066755C",0,0,NA,NA,NA
9,1,1,"SALK_066755C",0,0,NA,NA,NA
10,1,1,"SALK_038957C",0,0,NA,NA,NA
11,1,1,"SALK_038957C",0,0,NA,NA,NA
12,1,1,"SALK_038957C",0,0,NA,NA,NA
13,1,1,"SALK_038957C",0,0,NA,NA,NA
14,1,1,"SALK_108266C",0,0,NA,NA,NA
15,1,1,"SALK_108266C",0,0,NA,NA,NA
16,1,1,"SALK_108266C",0,0,NA,NA,NA
17,1,1,"SALK_108266C",0,0,NA,NA,NA
18,1,1,"SALK_108266C",0,0,NA,NA,NA
19,1,1,"SALK_108266C",0,0,NA,NA,NA
20,1,1,"SALK_108266C",0,0,NA,NA,NA
21,1,1,"SALK_108266C",0,0,NA,NA,NA
22,1,1,"SALK_108266C",0,0,NA,NA,NA
23,1,1,"SALK_108266C",0,0,NA,NA,NA
24,1,1,"SALK_108266C",0,0,NA,NA,NA
25,1,1,"SALK_108266C",0,0,NA,NA,NA
26,1,1,"SALK_109171C",0,0,NA,NA,NA
27,1,1,"SALK_109171C",0,0,NA,NA,NA
28,1,1,"SALK_109171C",0,0,NA,NA,NA
29,1,1,"SALK_109171C",0,0,NA,NA,NA
30,1,1,"SALK_109171C",0,0,NA,NA,NA
31,1,1,"SALK_109171C",0,0,NA,NA,NA
32,1,1,"SALK_109171C",0,0,NA,NA,NA
33,1,1,"SALK_109171C",0,0,NA,NA,NA
34,1,1,"SALK_109171C",0,0,NA,NA,NA
35,1,1,"SALK_109171C",0,0,NA,NA,NA
36,1,1,"SALK_109171C",0,0,NA,NA,NA
37,1,1,"SALK_104706C",0,0,NA,NA,NA
38,1,1,"SALK_104706C",0,0,NA,NA,NA
39,1,1,"SALK_104706C",0,0,NA,NA,NA
40,1,1,"SALK_104706C",0,0,NA,NA,NA
41,1,1,"SALK_104706C",0,0,NA,NA,NA
42,1,1,"SALK_104706C",0,0,NA,NA,NA
43,1,1,"SALK_104706C",0,0,NA,NA,NA
44,1,1,"SALK_104706C",0,0,NA,NA,NA
45,1,1,"SALK_104706C",0,0,NA,NA,NA
46,1,1,"SALK_104706C",0,0,NA,NA,NA
47,1,1,"SALK_104706C",0,0,NA,NA,NA
48,1,1,"SALK_104706C",0,0,NA,NA,NA
49,1,1,"SALK_104706C",0,0,NA,NA,NA
50,1,1,"SALK_038445C",0,0,NA,NA,NA
51,1,1,"SALK_038445C",0,0,NA,NA,NA
52,1,1,"SALK_038445C",0,0,NA,NA,NA
53,1,1,"SALK_038445C",0,0,NA,NA,NA
54,1,1,"SALK_038445C",0,0,NA,NA,NA
55,1,1,"SALK_038445C",0,0,NA,NA,NA
56,1,1,"SALK_038445C",0,0,NA,NA,NA
57,1,1,"SALK_038445C",0,0,NA,NA,NA
58,1,1,"SALK_038445C",0,0,NA,NA,NA
59,1,1,"SALK_038445C",0,0,NA,NA,NA
60,1,1,"SALK_038445C",0,0,NA,NA,NA
61,1,1,"SALK_108221C",0,0,NA,NA,NA
62,1,1,"SALK_108221C",0,0,NA,NA,NA
63,1,1,"SALK_108221C",0,0,NA,NA,NA
64,1,1,"SALK_108221C",0,0,NA,NA,NA
65,1,1,"SALK_108221C",0,0,NA,NA,NA
66,1,1,"SALK_108221C",0,0,NA,NA,NA
67,1,1,"SALK_108221C",0,0,NA,NA,NA
68,1,1,"SALK_074274C",0,0,NA,NA,NA
69,1,1,"SALK_074274C",0,0,NA,NA,NA
70,1,1,"SALK_074274C",0,0,NA,NA,NA
71,1,1,"SALK_074274C",0,0,NA,NA,NA
72,1,1,"SALK_074274C",0,0,NA,NA,NA
73,1,1,"SALK_074274C",0,0,NA,NA,NA
74,1,1,"SALK_074274C",0,0,NA,NA,NA
75,1,1,"SALK_074274C",0,0,NA,NA,NA
76,1,1,"SALK_074274C",0,0,NA,NA,NA
77,1,1,"SALK_074274C",0,0,NA,NA,NA
78,1,1,"SALK_017933C",0,0,NA,NA,NA
79,1,1,"SALK_017933C",0,0,NA,NA,NA
80,1,1,"SALK_017933C",0,0,NA,NA,NA
81,1,1,"SALK_017933C",0,0,NA,NA,NA
82,1,1,"SALK_017933C",0,0,NA,NA,NA
83,1,1,"SALK_017933C",0,0,NA,NA,NA
84,1,1,"SALK_017933C",0,0,NA,NA,NA
85,1,1,"SALK_017933C",0,0,NA,NA,NA
86,1,1,"SALK_CS60000",0,0,NA,NA,NA
87,1,1,"SALK_CS60000",0,0,NA,NA,NA
88,1,1,"SALK_CS60000",0,0,NA,NA,NA
89,1,1,"SALK_CS60000",0,0,NA,NA,NA
90,1,1,"SALK_CS60000",0,0,NA,NA,NA
91,1,1,"SALK_CS60000",0,0,NA,NA,NA
92,1,1,"SALK_CS60000",0,0,NA,NA,NA
93,1,1,"SALK_CS60000",0,0,NA,NA,NA
94,1,1,"SALK_CS60000",0,0,NA,NA,NA
95,1,1,"SALK_CS60000",0,0,NA,NA,NA
96,1,1,"SALK_CS60000",0,0,NA,NA,NA
97,1,1,"SALK_CS60000",0,0,NA,NA,NA
98,1,1,"SALK_CS60000",0,0,NA,NA,NA
99,1,1,"SALK_006054C",0,0,NA,NA,NA
100,1,1,"SALK_006054C",0,0,NA,NA,NA
101,1,1,"SALK_006054C",0,0,NA,NA,NA
102,1,1,"SALK_006054C",0,0,NA,NA,NA
103,1,1,"SALK_006054C",0,0,NA,NA,NA
104,1,1,"SALK_006054C",0,0,NA,NA,NA
105,1,1,"SALK_006054C",0,0,NA,NA,NA
106,1,1,"SALK_006054C",0,0,NA,NA,NA
107,1,1,"SALK_006054C",0,0,NA,NA,NA
108,1,1,"SALK_023712C",0,0,NA,NA,NA
109,1,1,"SALK_023712C",0,0,NA,NA,NA
110,1,1,"SALK_023712C",0,0,NA,NA,NA
111,1,1,"SALK_023712C",0,0,NA,NA,NA
112,1,1,"SALK_023712C",0,0,NA,NA,NA
114,1,1,"SALK_023712C",0,0,NA,NA,NA
115,1,1,"SALK_023712C",0,0,NA,NA,NA
116,1,1,"SALK_023712C",0,0,NA,NA,NA
117,1,1,"SALK_023712C",0,0,NA,NA,NA
118,1,1,"SALK_023712C",0,0,NA,NA,NA
119,1,1,"SALK_023712C",0,0,NA,NA,NA
120,1,1,"SALK_021006C",0,0,NA,NA,NA
121,1,1,"SALK_021006C",0,0,NA,NA,NA
122,1,1,"SALK_021006C",0,0,NA,NA,NA
123,1,1,"SALK_021006C",0,0,NA,NA,NA
124,1,1,"SALK_021006C",0,0,NA,NA,NA
125,1,1,"SALK_021006C",0,0,NA,NA,NA
126,1,1,"SALK_021006C",0,0,NA,NA,NA
127,1,1,"SALK_021006C",0,0,NA,NA,NA
128,1,1,"SALK_021006C",0,0,NA,NA,NA
129,1,1,"SALK_021006C",0,0,NA,NA,NA
130,1,1,"SALK_021006C",0,0,NA,NA,NA
131,1,1,"SALK_127261C",0,0,NA,NA,NA
132,1,1,"SALK_127261C",0,0,NA,NA,NA
133,1,1,"SALK_127261C",0,0,NA,NA,NA
134,1,1,"SALK_127261C",0,0,NA,NA,NA
135,1,1,"SALK_127261C",0,0,NA,NA,NA
136,1,1,"SALK_127261C",0,0,NA,NA,NA
137,1,1,"SALK_127261C",0,0,NA,NA,NA
138,1,1,"SALK_127261C",0,0,NA,NA,NA
139,1,1,"SALK_059835C",0,0,NA,NA,NA
140,1,1,"SALK_059835C",0,0,NA,NA,NA
141,1,1,"SALK_059835C",0,0,NA,NA,NA
142,1,1,"SALK_059835C",0,0,NA,NA,NA
143,1,1,"SALK_059835C",0,0,NA,NA,NA
144,1,1,"SALK_059835C",0,0,NA,NA,NA
145,1,1,"SALK_059835C",0,0,NA,NA,NA
146,1,1,"SALK_059835C",0,0,NA,NA,NA
148,1,1,"SALK_059835C",0,0,NA,NA,NA
149,1,1,"SALK_059835C",0,0,NA,NA,NA
150,1,1,"SALK_059835C",0,0,NA,NA,NA
151,1,1,"SALK_054680C",0,0,NA,NA,NA
152,1,1,"SALK_054680C",0,0,NA,NA,NA
153,1,1,"SALK_054680C",0,0,NA,NA,NA
154,1,1,"SALK_054680C",0,0,NA,NA,NA
155,1,1,"SALK_054680C",0,0,NA,NA,NA
156,1,1,"SALK_054680C",0,0,NA,NA,NA
157,1,1,"SALK_054680C",0,0,NA,NA,NA
158,1,1,"SALK_054680C",0,0,NA,NA,NA
159,1,1,"SALK_054680C",0,0,NA,NA,NA
160,1,1,"SALK_054680C",0,0,NA,NA,NA
161,1,1,"SALK_054680C",0,0,NA,NA,NA
162,1,1,"SALK_054680C",0,0,NA,NA,NA
163,1,1,"SALK_054680C",0,0,NA,NA,NA
164,1,1,"SALK_094332C",0,0,NA,NA,NA
165,1,1,"SALK_094332C",0,0,NA,NA,NA
166,1,1,"SALK_094332C",0,0,NA,NA,NA
167,1,1,"SALK_094332C",0,0,NA,NA,NA
168,1,1,"SALK_094332C",0,0,NA,NA,NA
169,1,1,"SALK_094332C",0,0,NA,NA,NA
170,1,1,"SALK_094332C",0,0,NA,NA,NA
171,1,1,"SALK_094332C",0,0,NA,NA,NA
172,1,1,"SALK_094332C",0,0,NA,NA,NA
173,1,1,"SALK_094332C",0,0,NA,NA,NA
174,1,1,"SALK_094332C",0,0,NA,NA,NA
175,1,1,"SALK_094332C",0,0,NA,NA,NA
176,1,1,"SALK_094332C",0,0,NA,NA,NA
177,1,1,"SALK_094332C",0,0,NA,NA,NA
178,1,1,"SALK_129274C",0,0,NA,NA,NA
179,1,1,"SALK_129274C",0,0,NA,NA,NA
180,1,1,"SALK_129274C",0,0,NA,NA,NA
181,1,1,"SALK_129274C",0,0,NA,NA,NA
182,1,1,"SALK_129274C",0,0,NA,NA,NA
183,1,1,"SALK_129274C",0,0,NA,NA,NA
184,1,1,"SALK_129274C",0,0,NA,NA,NA
185,1,1,"SALK_129274C",0,0,NA,NA,NA
186,1,1,"SALK_129274C",0,0,NA,NA,NA
187,1,1,"SALK_063976C",0,0,NA,NA,NA
188,1,1,"SALK_063976C",0,0,NA,NA,NA
189,1,1,"SALK_063976C",0,0,NA,NA,NA
190,1,1,"SALK_063976C",0,0,NA,NA,NA
191,1,1,"SALK_063976C",0,0,NA,NA,NA
192,1,1,"SALK_063976C",0,0,NA,NA,NA
193,1,1,"SALK_063976C",0,0,NA,NA,NA
194,1,1,"SALK_063976C",0,0,NA,NA,NA
195,1,1,"SALK_063976C",0,0,NA,NA,NA
196,1,1,"SALK_063976C",0,0,NA,NA,NA
197,1,1,"SALK_148182C",0,0,NA,NA,NA
