"plantID","accession","plantnum_experiment","parent_experiment","Parent1","Parent2","treatment","experiment","meta.experiment","facility"
1,"SALK_066755C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
2,"SALK_066755C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
3,"SALK_066755C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
4,"SALK_066755C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
5,"SALK_066755C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
6,"SALK_066755C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
7,"SALK_066755C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
8,"SALK_066755C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
9,"SALK_066755C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
10,"SALK_038957C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
11,"SALK_038957C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
12,"SALK_038957C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
13,"SALK_038957C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
14,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
15,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
16,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
17,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
18,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
19,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
20,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
21,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
22,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
23,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
24,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
25,"SALK_108266C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
26,"SALK_109171C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
27,"SALK_109171C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
28,"SALK_109171C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
29,"SALK_109171C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
30,"SALK_109171C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
31,"SALK_109171C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
32,"SALK_109171C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
33,"SALK_109171C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
34,"SALK_109171C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
35,"SALK_109171C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
36,"SALK_109171C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
37,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
38,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
39,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
40,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
41,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
42,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
43,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
44,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
45,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
46,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
47,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
48,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
49,"SALK_104706C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
50,"SALK_038445C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
51,"SALK_038445C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
52,"SALK_038445C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
53,"SALK_038445C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
54,"SALK_038445C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
55,"SALK_038445C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
56,"SALK_038445C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
57,"SALK_038445C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
58,"SALK_038445C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
59,"SALK_038445C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
60,"SALK_038445C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
61,"SALK_108221C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
